dimension;method;time;cost;boundary_set_size;exploded_nodes
7;dfs;0.0011589640016609337;21;40;22
7;dfs;0.0011551290008355863;21;40;22
7;dfs;0.0011693050000758376;21;40;22
7;greedy;0.003991514000517782;15;85;53
7;greedy;0.00397247100045206;15;85;53
7;greedy;0.004159091000474291;15;85;53
7;greedy;0.004100071000721073;15;85;53
7;greedy;0.004589373998896917;15;85;53
7;A*;0.22459480999896186;14;3258;2230
7;A*;0.22168321500066668;14;3258;2230
7;A*;0.2158753309995518;14;3258;2230
7;A*;0.21109385499948985;14;3258;2230
7;A*;0.21936552099941764;14;3258;2230
7;bfs;4.269835944000079;14;12513;52723
7;bfs;4.135187585001404;14;12513;52723
7;bfs;4.0837757219997;14;12513;52723
7;bfs;4.035697866998817;14;12513;52723
7;bfs;4.148116119999031;14;12513;52723
8;dfs;0.0012036050029564649;15;33;16
8;dfs;0.0015000589992268942;15;33;16
8;dfs;0.0020326410012785345;15;33;16
8;dfs;0.001374995001242496;15;33;16
8;dfs;0.0011779880005633458;15;33;16
8;greedy;0.03237539999827277;12;282;145
8;greedy;0.036932376999175176;12;282;145
8;greedy;0.021105583000462502;12;282;145
8;greedy;0.018203098999947542;12;282;145
8;greedy;0.017662422000285005;12;282;145
8;A*;0.07251853399793617;12;767;608
8;A*;0.09323058500012849;12;767;608
8;A*;0.10131339199870126;12;767;608
8;A*;0.06940449899775558;12;767;608
8;A*;0.07240580099824001;12;767;608
9;dfs;0.0018582299999252427;18;43;19
9;dfs;0.0017944799983524717;18;43;19
9;dfs;0.0018060579968732782;18;43;19
9;dfs;0.0017908090012497269;18;43;19
9;dfs;0.0021317760001693387;18;43;19
9;greedy;0.053772158000356285;13;741;351
9;greedy;0.05235392999748001;13;741;351
9;greedy;0.05190081700129667;13;741;351
9;greedy;0.05233794100058731;13;741;351
9;greedy;0.05138028999863309;13;741;351
9;A*;0.2691686910002318;13;3337;1645
9;A*;0.26668205299938563;13;3337;1645
9;A*;0.2618915300008666;13;3337;1645
9;A*;0.26627831299992977;13;3337;1645
9;A*;0.26476728600027855;13;3337;1645
10;dfs;0.003767002999666147;28;76;29
10;dfs;0.0034405149999656714;28;76;29
10;dfs;0.0030369419982889667;28;76;29
10;dfs;0.0029362370005401317;28;76;29
10;dfs;0.002711791999900015;28;76;29
10;greedy;2.30979030600065;17;24664;13897
10;greedy;2.315209534997848;17;24664;13897
10;greedy;2.3014900779999152;17;24664;13897
10;greedy;2.3114963360021648;17;24664;13897
10;greedy;2.3345219910006563;17;24664;13897
10;A*;5.944167895002465;16;58391;33796
10;A*;5.901607229003275;16;58391;33796
10;A*;6.138885700998799;16;58391;33796
10;A*;6.184732977999374;16;58391;33796
10;A*;6.17657534799946;16;58391;33796
11;dfs;0.0034946560008393135;26;63;27
11;dfs;0.003324417000840185;26;63;27
11;dfs;0.0033929240016732365;26;63;27
11;dfs;0.002945295000245096;26;63;27
11;dfs;0.0035014400018553715;26;63;27
11;greedy;1.3475073459994746;16;12852;6404
11;greedy;1.3529787160005071;16;12852;6404
11;greedy;1.3538666969980113;16;12852;6404
11;greedy;1.3608299219995388;16;12852;6404
11;greedy;1.3481850390016916;16;12852;6404
11;A*;6.687829913000314;16;55911;30108
11;A*;6.678588483999192;16;55911;30108
11;A*;6.689311981997889;16;55911;30108
11;A*;6.727944763999403;16;55911;30108
11;A*;6.686996075000934;16;55911;30108
